Product Name,Price
"OnePlus Nord CE 3 Lite 5G (Chromatic Gray, 256 GB)","₹19,027"
"OnePlus Nord CE 3 Lite 5G (Pastel Lime, 256 GB)","₹18,988"
"OnePlus Nord CE 3 Lite 5G (Pastel Lime, 128 GB)","₹16,957"
"OnePlus Nord CE 3 Lite 5G (Chromatic Gray, 128 GB)","₹16,986"
"vivo T3x 5G (Celestial Green, 128 GB)","₹16,499"
"vivo T3x 5G (Crimson Bliss, 128 GB)","₹16,499"
"Motorola g64 5G (Pearl Blue, 256 GB)","₹16,999"
"Motorola g64 5G (Ice Lilac, 256 GB)","₹16,999"
"SAMSUNG Galaxy F15 5G (Groovy Violet, 128 GB)","₹14,499"
"vivo T2x 5G (Marine Blue, 128 GB)","₹14,999"
"vivo T2x 5G (Aurora Gold, 128 GB)","₹14,999"
"vivo T2x 5G (Black Gladiator, 128 GB)","₹14,999"
"vivo T2x 5G (Sunstone Orange, 128 GB)","₹11,999"
"vivo T2x 5G (Glimmer Black, 128 GB)","₹14,999"
"vivo T3 5G (Cosmic Blue, 128 GB)","₹19,999"
"vivo T3 5G (Crystal Flake, 128 GB)","₹19,999"
"Motorola g64 5G (Mint Green, 256 GB)","₹16,999"
"realme P1 5G (Peacock Green, 128 GB)","₹15,999"
"realme P1 5G (Phoenix Red, 128 GB)","₹15,999"
"realme P1 5G (Phoenix Red, 128 GB)","₹16,999"
"realme P1 5G (Peacock Green, 128 GB)","₹16,999"
"Motorola g84 5G (Viva Magenta, 256 GB)","₹18,999"
"realme P1 5G (Peacock Green, 256 GB)","₹18,999"
"POCO X6 5G (Mirror Black, 256 GB)","₹19,499"
